Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Tenure,Distance call,Campaign,age group
4724-WXVWF,Male,28,No,No,0,No,48,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4,4445.3,199.2,4644.5,3,4 years+,Yes,No,Under_30
1336-EZFZY,Female,33,No,No,0,No,4,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.05,83.3,103.2,186.5,4,1 year,Yes,No,Young_adult
7392-YYPYJ,Male,26,No,No,0,No,22,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.65,2415.95,625.24,3036.18,5,2 years,Yes,Yes,Under_30
9424-CMPOG,Male,53,Yes,Yes,3,Yes,9,Offer E,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,19.6,197.4,24.12,221.52,3,1 year,Yes,Yes,Young_adult
8606-CIQUL,Male,77,Yes,Yes,1,Yes,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,8399.15,2216.16,10725.31,4,4 years+,Yes,Yes,Senioir_citizen
6413-XKKPU,Male,54,Yes,No,0,Yes,17,None,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.4,1539.45,326.23,1865.68,1,2 years,Yes,No,Young_adult
0840-DFEZH,Female,63,No,No,0,No,7,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.35,564.65,176.19,740.84,3,1 year,Yes,No,Young_adult
0722-TROQR,Female,68,No,No,0,No,4,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,321.75,104.92,426.67,1,1 year,Yes,No,Senioir_citizen
9837-FWLCH,Male,39,Yes,Yes,1,Yes,12,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.2,239.0,303.96,497.5,3,1 year,Yes,No,Young_adult
6339-TBELP,Male,53,No,No,0,No,71,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,86.4,6172.0,479.25,6651.25,5,4 years+,Yes,No,Young_adult
9524-EGPJC,Female,33,No,No,0,No,18,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,1612.75,615.78,2180.27,1,2 years,Yes,No,Young_adult
4140-WJAWW,Female,57,No,No,0,No,5,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,108.05,30.85,138.9,1,1 year,Yes,No,Young_adult
2070-XYMFH,Female,66,No,No,0,No,23,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,79.35,1835.3,200.56,2020.45,5,2 years,Yes,No,Senioir_citizen
4692-NNQRU,Female,49,Yes,No,0,Yes,21,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,79.2,1742.45,304.71,2047.16,3,2 years,Yes,Yes,Young_adult
4315-MURBD,Female,64,No,No,0,No,12,None,Yes,No,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,1120.95,419.04,1539.99,1,1 year,Yes,No,Young_adult
6244-BESBM,Male,61,Yes,Yes,1,Yes,69,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.2,6671.7,829.38,7501.08,4,4 years+,Yes,No,Young_adult
8591-TKMZH,Male,40,Yes,Yes,3,Yes,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.1,6555.2,2719.9,9275.1,4,4 years+,Yes,Yes,Young_adult
5295-PCJOO,Male,44,No,Yes,2,No,4,None,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.4,184.4,39.08,233.48,1,1 year,Yes,No,Young_adult
3494-JCHRQ,Male,38,No,No,0,No,1,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.05,70.05,27.89,97.94,2,1 year,Yes,No,Young_adult
6762-QVYJO,Female,25,Yes,Yes,3,Yes,58,Offer B,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,59.75,3624.35,0.0,3624.35,3,4 years+,No,Yes,Under_30
2974-GGUXS,Female,74,Yes,No,0,No,36,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,91.95,3301.05,407.52,3690.81,5,3 years,Yes,Yes,Senioir_citizen
0820-FNRNX,Male,48,Yes,Yes,3,Yes,17,Offer D,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,66.7,1077.05,507.79,1584.84,3,2 years,Yes,Yes,Young_adult
5442-PPTJY,Male,44,Yes,Yes,3,Yes,12,Offer D,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,258.35,56.52,314.87,4,1 year,Yes,Yes,Young_adult
2737-YNGYW,Female,29,No,No,0,No,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,80.55,184.1,67.78,251.88,3,1 year,Yes,Yes,Under_30
1215-EXRMO,Male,32,Yes,No,0,Yes,50,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.55,1067.65,2345.5,3413.15,3,4 years+,Yes,No,Young_adult
8133-ANHHJ,Female,77,No,No,0,No,49,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,103.0,5166.2,1787.03,6953.23,4,4 years+,Yes,Yes,Senioir_citizen
4636-JGAAI,Male,28,Yes,No,0,Yes,34,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,88.85,3000.25,474.98,3475.23,3,3 years,Yes,No,Under_30
1842-EZJMK,Male,28,Yes,No,0,Yes,50,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103.7,5071.05,1707.0,6741.44,1,4 years+,Yes,Yes,Under_30
2683-BPJSO,Male,37,Yes,No,0,No,29,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.45,2467.1,822.73,3289.83,1,3 years,Yes,No,Young_adult
4929-ROART,Male,47,No,No,0,No,18,None,Yes,Yes,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,56.25,969.85,608.4,1608.25,4,2 years,Yes,No,Young_adult
9770-LXDBK,Female,42,No,No,0,No,3,Offer E,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.4,63.15,44.37,107.52,4,1 year,Yes,Yes,Young_adult
7595-EHCDL,Male,48,Yes,Yes,2,Yes,32,None,No,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,50.6,1653.45,0.0,1653.45,3,3 years,No,No,Young_adult
2873-ZLIWT,Female,64,Yes,No,0,Yes,40,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,81.2,3384.25,2,4 years+,Yes,Yes,Young_adult
0402-OAMEN,Female,36,Yes,Yes,1,Yes,72,Offer A,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.45,1709.1,1480.32,3189.42,3,4 years+,Yes,Yes,Young_adult
4177-JPDFU,Male,35,No,No,0,No,12,Offer D,No,No,Yes,Cable,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,34.0,442.45,0.0,442.45,3,1 year,No,Yes,Young_adult
3588-WSTTJ,Female,78,No,No,0,No,35,Offer C,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,3554.6,1107.4,4662.0,4,3 years,Yes,Yes,Senioir_citizen
3523-QRQLL,Female,22,Yes,No,0,Yes,22,None,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,69.5,1498.2,770.88,2219.51,2,2 years,Yes,No,Under_30
8405-IGQFX,Female,41,No,No,0,No,63,Offer B,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,90.05,5817.0,2541.42,8358.42,3,4 years+,Yes,Yes,Young_adult
4833-QTJNO,Male,66,Yes,No,0,Yes,67,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.85,5588.8,3008.3,8597.1,3,4 years+,Yes,No,Senioir_citizen
0704-VCUMB,Female,64,Yes,No,0,Yes,61,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.25,1278.8,667.34,1940.99,3,4 years+,Yes,No,Young_adult
6897-RWMUB,Male,23,Yes,Yes,2,Yes,61,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,68.05,4158.25,2580.91,6739.16,4,4 years+,Yes,No,Under_30
5609-CEBID,Female,77,No,No,0,No,20,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,974.6,2837.0,1,2 years,Yes,No,Senioir_citizen
9504-DSHWM,Male,53,No,No,0,No,20,None,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,59.2,1191.2,662.8,1984.0,3,2 years,Yes,No,Young_adult
6486-LHTMA,Female,67,Yes,No,0,Yes,31,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.7,2835.5,1372.06,4207.56,3,3 years,Yes,No,Senioir_citizen
7486-KSRVI,Male,56,No,No,0,No,43,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,4211.55,1692.91,6044.46,1,4 years+,Yes,Yes,Young_adult
7209-JCUDS,Male,25,No,No,0,No,10,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.9,1048.85,402.2,1451.05,1,1 year,Yes,Yes,Under_30
0516-QREYC,Female,78,No,No,0,No,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.3,459.95,441.36,901.31,5,2 years,Yes,No,Senioir_citizen
2378-VTKDH,Male,76,Yes,No,0,Yes,65,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.35,6578.55,558.35,7136.9,5,4 years+,Yes,Yes,Senioir_citizen
5228-EXCET,Male,40,No,No,0,No,13,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.85,1008.7,163.02,1171.72,1,2 years,Yes,No,Young_adult
7321-PKUYW,Female,46,No,No,0,No,11,Offer D,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.15,987.95,245.96,1233.91,1,1 year,Yes,Yes,Young_adult
3739-YBWAB,Male,37,Yes,No,0,Yes,36,Offer C,No,No,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,35.35,1317.95,0.0,1317.95,4,3 years,No,Yes,Young_adult
5895-QSXOD,Male,42,No,No,0,No,9,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.05,657.5,434.25,1091.75,3,1 year,Yes,No,Young_adult
2081-VEYEH,Male,42,No,No,0,No,3,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,107.95,318.6,37.98,356.58,3,1 year,Yes,Yes,Young_adult
1777-JYQPJ,Male,19,No,No,0,No,2,Offer E,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,24.3,38.45,0.0,38.45,4,1 year,No,Yes,Under_30
3981-QSVQI,Male,28,No,No,0,No,8,Offer E,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.7,168.9,177.2,346.1,4,1 year,Yes,Yes,Under_30
7218-HKQFK,Male,49,Yes,No,0,Yes,2,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,167.5,37.58,205.08,2,1 year,Yes,No,Young_adult
2995-YWTCD,Female,20,Yes,Yes,1,Yes,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,24.9,467.7,600.02,1067.72,3,2 years,Yes,No,Under_30
2187-LZGPL,Female,36,No,No,0,No,7,None,No,No,Yes,DSL,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,40.1,293.3,0.0,293.3,2,1 year,No,No,Young_adult
3137-NYQQI,Male,32,Yes,No,0,Yes,17,Offer D,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,64.8,1175.6,770.95,1946.55,4,2 years,Yes,Yes,Young_adult
8883-ANODQ,Female,44,Yes,Yes,1,Yes,68,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,84.4,5746.75,1695.92,7442.67,5,4 years+,Yes,No,Young_adult
4550-EVXNY,Female,52,No,No,0,No,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.65,69.65,49.24,118.89,2,1 year,Yes,Yes,Young_adult
4837-QUSFT,Female,35,Yes,No,0,Yes,65,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,100.15,6643.5,2380.3,9023.8,4,4 years+,Yes,Yes,Young_adult
3055-OYMSE,Female,75,No,No,0,No,53,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.8,4003.85,887.22,4891.07,3,4 years+,Yes,No,Senioir_citizen
2911-UREFD,Female,50,Yes,No,0,Yes,39,None,No,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,55.9,2184.35,0.0,2184.35,1,4 years+,No,No,Young_adult
5681-LLOEI,Male,59,Yes,Yes,1,Yes,43,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,91.25,4013.8,1815.46,5803.77,3,4 years+,Yes,No,Young_adult
5848-FHRFC,Female,49,No,No,0,No,68,Offer A,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.05,1386.9,192.44,1579.34,4,4 years+,Yes,Yes,Young_adult
6599-CEBNN,Female,63,No,No,0,No,34,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.95,2524.45,52.7,2577.15,3,3 years,Yes,Yes,Young_adult
7740-BTPUX,Male,72,Yes,No,0,Yes,55,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,113.6,6292.7,710.05,7002.75,5,4 years+,Yes,Yes,Senioir_citizen
1304-BCCFO,Male,24,Yes,No,0,Yes,9,None,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,70.05,564.4,134.19,698.59,3,1 year,Yes,No,Under_30
3987-KQDDU,Male,58,No,No,0,No,9,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,661.55,189.99,851.54,3,1 year,Yes,No,Young_adult
1552-AAGRX,Female,22,No,No,0,No,30,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,106.4,3211.9,1274.7,4546.6,4,3 years,Yes,No,Under_30
0771-CHWSK,Male,56,No,No,0,No,66,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,74.6,4798.4,3007.62,7806.02,3,4 years+,Yes,Yes,Young_adult
8777-PVYGU,Female,36,Yes,No,0,No,52,Offer B,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Mailed Check,64.3,3410.6,219.44,3630.04,4,4 years+,Yes,Yes,Young_adult
9957-YODKZ,Male,75,Yes,No,0,Yes,6,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,80.8,457.1,101.22,588.32,5,1 year,Yes,No,Senioir_citizen
4608-LCIMN,Male,45,Yes,Yes,3,Yes,8,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.65,369.15,246.16,615.31,3,1 year,Yes,No,Young_adult
1100-DDVRV,Male,27,Yes,No,0,Yes,17,None,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,49.8,836.35,0.0,836.35,5,2 years,No,No,Under_30
8631-WUXGY,Female,26,No,Yes,2,No,46,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.8,4391.25,805.46,5196.71,5,4 years+,Yes,No,Under_30
4981-FLTMF,Female,35,Yes,Yes,1,Yes,57,None,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,65.2,3687.85,87.78,3775.63,3,4 years+,Yes,No,Young_adult
1891-QRQSA,Male,71,Yes,No,0,Yes,64,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,111.6,7099.0,1045.12,8144.12,4,4 years+,Yes,Yes,Senioir_citizen
6576-FBXOJ,Male,29,Yes,No,0,Yes,17,Offer D,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,54.6,934.8,0.0,887.07,4,2 years,No,Yes,Under_30
3373-YZZYM,Male,57,Yes,Yes,3,Yes,1,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.2,19.2,32.78,51.98,5,1 year,Yes,No,Young_adult
2205-YMZZJ,Male,75,No,No,0,No,7,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.8,546.95,276.57,823.52,3,1 year,Yes,No,Senioir_citizen
0701-TJSEF,Male,45,No,No,0,No,9,Offer E,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.25,576.95,290.79,867.74,3,1 year,Yes,Yes,Young_adult
5150-ITWWB,Male,65,No,No,0,No,3,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.85,335.75,113.34,449.09,4,1 year,Yes,Yes,Senioir_citizen
8065-BVEPF,Male,80,No,No,0,No,65,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.1,6496.15,1184.95,7681.1,4,4 years+,Yes,Yes,Senioir_citizen
2580-ASVVY,Female,23,Yes,No,0,Yes,37,None,No,No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,45.4,1593.1,0.0,1548.97,4,4 years+,No,No,Under_30
8714-CTZJW,Female,24,No,No,0,No,4,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,82.85,319.6,79.36,398.96,3,1 year,Yes,Yes,Under_30
2187-PKZAY,Male,23,No,No,0,No,12,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95,1043.4,480.72,1524.12,5,1 year,Yes,No,Under_30
8053-WWDRO,Female,62,Yes,No,0,Yes,6,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.5,146.3,190.2,336.5,3,1 year,Yes,No,Young_adult
1360-XFJMR,Female,50,Yes,No,0,Yes,67,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,109.7,7344.45,1187.24,8531.69,4,4 years+,Yes,No,Young_adult
1431-CYWMH,Female,35,Yes,Yes,1,No,22,Offer D,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.05,454.05,1021.9,1475.95,3,2 years,Yes,Yes,Young_adult
5204-QZXPU,Male,50,No,No,0,No,19,None,No,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,39.65,733.35,0.0,733.35,1,2 years,No,No,Young_adult
8769-KKTPH,Female,44,Yes,No,0,Yes,63,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.65,6311.2,90.09,6401.29,3,4 years+,Yes,Yes,Young_adult
