Customer ID,Count,Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Tenure,Distance call,Campaign,age group,Predicted,Churn_Probability
4074-SJFFA,1,Female,44,No,No,0,No,1,None,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,54.75,54.75,13.01,67.76,3,Yes,1 year,Yes,No,Young_adult,1,0.81
0689-DSXGL,1,Female,61,Yes,Yes,1,Yes,52,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.8,4433.3,877.24,5310.54,3,No,4 years+,Yes,Yes,Young_adult,0,0.02
4646-QZXTF,1,Female,38,Yes,No,0,Yes,7,None,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,81.25,580.1,85.12,617.86,3,No,1 year,Yes,No,Young_adult,0,0.06
3261-CQXOL,1,Female,33,Yes,Yes,2,No,71,Offer A,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.45,1813.35,294.65,2108.0,3,No,4 years+,Yes,Yes,Young_adult,0,0.0
1452-VOQCH,1,Male,61,No,No,0,No,1,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.1,75.1,4.53,79.63,3,Yes,1 year,Yes,No,Young_adult,1,0.87
4724-WXVWF,1,Male,28,No,No,0,No,48,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4,4445.3,199.2,4644.5,3,No,4 years+,Yes,No,Under_30,0,0.05
1336-EZFZY,1,Female,33,No,No,0,No,4,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.05,83.3,103.2,186.5,4,No,1 year,Yes,No,Young_adult,0,0.01
7392-YYPYJ,1,Male,26,No,No,0,No,22,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.65,2415.95,625.24,3036.18,5,No,2 years,Yes,Yes,Under_30,0,0.05
9424-CMPOG,1,Male,53,Yes,Yes,3,Yes,9,Offer E,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,19.6,197.4,24.12,221.52,3,No,1 year,Yes,Yes,Young_adult,0,0.02
8606-CIQUL,1,Male,77,Yes,Yes,1,Yes,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,8399.15,2216.16,10725.31,4,No,4 years+,Yes,Yes,Senioir_citizen,0,0.02
6413-XKKPU,1,Male,54,Yes,No,0,Yes,17,None,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.4,1539.45,326.23,1865.68,1,Yes,2 years,Yes,No,Young_adult,1,0.92
9837-FWLCH,1,Male,39,Yes,Yes,1,Yes,12,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.2,239.0,303.96,497.5,3,No,1 year,Yes,No,Young_adult,0,0.17
6339-TBELP,1,Male,53,No,No,0,No,71,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,86.4,6172.0,479.25,6651.25,5,No,4 years+,Yes,No,Young_adult,0,0.07
9524-EGPJC,1,Female,33,No,No,0,No,18,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,1612.75,615.78,2180.27,1,Yes,2 years,Yes,No,Young_adult,1,0.9
4140-WJAWW,1,Female,57,No,No,0,No,5,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,108.05,30.85,138.9,1,Yes,1 year,Yes,No,Young_adult,1,0.82
2070-XYMFH,1,Female,66,No,No,0,No,23,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,79.35,1835.3,200.56,2020.45,5,No,2 years,Yes,No,Senioir_citizen,0,0.01
4315-MURBD,1,Female,64,No,No,0,No,12,None,Yes,No,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,1120.95,419.04,1539.99,1,Yes,1 year,Yes,No,Young_adult,1,0.95
6244-BESBM,1,Male,61,Yes,Yes,1,Yes,69,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.2,6671.7,829.38,7501.08,4,No,4 years+,Yes,No,Young_adult,0,0.01
8591-TKMZH,1,Male,40,Yes,Yes,3,Yes,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.1,6555.2,2719.9,9275.1,4,No,4 years+,Yes,Yes,Young_adult,0,0.0
5295-PCJOO,1,Male,44,No,Yes,2,No,4,None,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.4,184.4,39.08,233.48,1,Yes,1 year,Yes,No,Young_adult,1,0.94
6762-QVYJO,1,Female,25,Yes,Yes,3,Yes,58,Offer B,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,59.75,3624.35,0.0,3624.35,3,No,4 years+,No,Yes,Under_30,0,0.0
2974-GGUXS,1,Female,74,Yes,No,0,No,36,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,91.95,3301.05,407.52,3690.81,5,No,3 years,Yes,Yes,Senioir_citizen,0,0.17
5442-PPTJY,1,Male,44,Yes,Yes,3,Yes,12,Offer D,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,258.35,56.52,314.87,4,No,1 year,Yes,Yes,Young_adult,0,0.0
2737-YNGYW,1,Female,29,No,No,0,No,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,80.55,184.1,67.78,251.88,3,Yes,1 year,Yes,Yes,Under_30,1,0.68
1215-EXRMO,1,Male,32,Yes,No,0,Yes,50,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.55,1067.65,2345.5,3413.15,3,No,4 years+,Yes,No,Young_adult,0,0.03
1842-EZJMK,1,Male,28,Yes,No,0,Yes,50,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103.7,5071.05,1707.0,6741.44,1,Yes,4 years+,Yes,Yes,Under_30,1,0.88
2683-BPJSO,1,Male,37,Yes,No,0,No,29,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.45,2467.1,822.73,3289.83,1,Yes,3 years,Yes,No,Young_adult,1,0.97
4929-ROART,1,Male,47,No,No,0,No,18,None,Yes,Yes,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,56.25,969.85,608.4,1608.25,4,No,2 years,Yes,No,Young_adult,0,0.03
7595-EHCDL,1,Male,48,Yes,Yes,2,Yes,32,None,No,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,50.6,1653.45,0.0,1653.45,3,No,3 years,No,No,Young_adult,0,0.05
2873-ZLIWT,1,Female,64,Yes,No,0,Yes,40,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,81.2,3384.25,2,Yes,4 years+,Yes,Yes,Young_adult,1,0.92
0402-OAMEN,1,Female,36,Yes,Yes,1,Yes,72,Offer A,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.45,1709.1,1480.32,3189.42,3,No,4 years+,Yes,Yes,Young_adult,0,0.0
4177-JPDFU,1,Male,35,No,No,0,No,12,Offer D,No,No,Yes,Cable,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,34.0,442.45,0.0,442.45,3,No,1 year,No,Yes,Young_adult,0,0.05
3523-QRQLL,1,Female,22,Yes,No,0,Yes,22,None,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,69.5,1498.2,770.88,2219.51,2,Yes,2 years,Yes,No,Under_30,1,0.91
8405-IGQFX,1,Female,41,No,No,0,No,63,Offer B,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,90.05,5817.0,2541.42,8358.42,3,No,4 years+,Yes,Yes,Young_adult,0,0.06
4833-QTJNO,1,Male,66,Yes,No,0,Yes,67,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.85,5588.8,3008.3,8597.1,3,No,4 years+,Yes,No,Senioir_citizen,0,0.04
0704-VCUMB,1,Female,64,Yes,No,0,Yes,61,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.25,1278.8,667.34,1940.99,3,No,4 years+,Yes,No,Young_adult,0,0.0
6897-RWMUB,1,Male,23,Yes,Yes,2,Yes,61,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,68.05,4158.25,2580.91,6739.16,4,No,4 years+,Yes,No,Under_30,0,0.0
5609-CEBID,1,Female,77,No,No,0,No,20,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,974.6,2837.0,1,Yes,2 years,Yes,No,Senioir_citizen,1,0.97
9504-DSHWM,1,Male,53,No,No,0,No,20,None,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,59.2,1191.2,662.8,1984.0,3,No,2 years,Yes,No,Young_adult,0,0.03
6486-LHTMA,1,Female,67,Yes,No,0,Yes,31,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.7,2835.5,1372.06,4207.56,3,No,3 years,Yes,No,Senioir_citizen,0,0.08
7486-KSRVI,1,Male,56,No,No,0,No,43,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,4211.55,1692.91,6044.46,1,Yes,4 years+,Yes,Yes,Young_adult,1,0.95
7209-JCUDS,1,Male,25,No,No,0,No,10,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.9,1048.85,402.2,1451.05,1,Yes,1 year,Yes,Yes,Under_30,1,0.94
0516-QREYC,1,Female,78,No,No,0,No,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.3,459.95,441.36,901.31,5,No,2 years,Yes,No,Senioir_citizen,0,0.0
2378-VTKDH,1,Male,76,Yes,No,0,Yes,65,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.35,6578.55,558.35,7136.9,5,No,4 years+,Yes,Yes,Senioir_citizen,0,0.02
5228-EXCET,1,Male,40,No,No,0,No,13,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.85,1008.7,163.02,1171.72,1,Yes,2 years,Yes,No,Young_adult,1,0.91
7321-PKUYW,1,Female,46,No,No,0,No,11,Offer D,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.15,987.95,245.96,1233.91,1,Yes,1 year,Yes,Yes,Young_adult,1,0.97
3739-YBWAB,1,Male,37,Yes,No,0,Yes,36,Offer C,No,No,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,35.35,1317.95,0.0,1317.95,4,No,3 years,No,Yes,Young_adult,0,0.03
5895-QSXOD,1,Male,42,No,No,0,No,9,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.05,657.5,434.25,1091.75,3,No,1 year,Yes,No,Young_adult,0,0.06
2081-VEYEH,1,Male,42,No,No,0,No,3,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,107.95,318.6,37.98,356.58,3,No,1 year,Yes,Yes,Young_adult,0,0.28
1777-JYQPJ,1,Male,19,No,No,0,No,2,Offer E,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,24.3,38.45,0.0,38.45,4,No,1 year,No,Yes,Under_30,0,0.11
3981-QSVQI,1,Male,28,No,No,0,No,8,Offer E,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.7,168.9,177.2,346.1,4,No,1 year,Yes,Yes,Under_30,0,0.05
7218-HKQFK,1,Male,49,Yes,No,0,Yes,2,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,167.5,37.58,205.08,2,Yes,1 year,Yes,No,Young_adult,1,1.0
3137-NYQQI,1,Male,32,Yes,No,0,Yes,17,Offer D,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,64.8,1175.6,770.95,1946.55,4,No,2 years,Yes,Yes,Young_adult,0,0.01
8883-ANODQ,1,Female,44,Yes,Yes,1,Yes,68,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,84.4,5746.75,1695.92,7442.67,5,No,4 years+,Yes,No,Young_adult,0,0.0
4550-EVXNY,1,Female,52,No,No,0,No,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.65,69.65,49.24,118.89,2,Yes,1 year,Yes,Yes,Young_adult,1,1.0
4837-QUSFT,1,Female,35,Yes,No,0,Yes,65,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,100.15,6643.5,2380.3,9023.8,4,No,4 years+,Yes,Yes,Young_adult,0,0.04
3055-OYMSE,1,Female,75,No,No,0,No,53,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.8,4003.85,887.22,4891.07,3,No,4 years+,Yes,No,Senioir_citizen,0,0.16
5681-LLOEI,1,Male,59,Yes,Yes,1,Yes,43,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,91.25,4013.8,1815.46,5803.77,3,No,4 years+,Yes,No,Young_adult,0,0.0
5848-FHRFC,1,Female,49,No,No,0,No,68,Offer A,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.05,1386.9,192.44,1579.34,4,No,4 years+,Yes,Yes,Young_adult,0,0.02
6599-CEBNN,1,Female,63,No,No,0,No,34,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.95,2524.45,52.7,2577.15,3,Yes,3 years,Yes,Yes,Young_adult,1,0.75
7740-BTPUX,1,Male,72,Yes,No,0,Yes,55,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,113.6,6292.7,710.05,7002.75,5,No,4 years+,Yes,Yes,Senioir_citizen,0,0.01
1304-BCCFO,1,Male,24,Yes,No,0,Yes,9,None,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,70.05,564.4,134.19,698.59,3,No,1 year,Yes,No,Under_30,0,0.42
3987-KQDDU,1,Male,58,No,No,0,No,9,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,661.55,189.99,851.54,3,No,1 year,Yes,No,Young_adult,0,0.19
1552-AAGRX,1,Female,22,No,No,0,No,30,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,106.4,3211.9,1274.7,4546.6,4,No,3 years,Yes,No,Under_30,0,0.01
0771-CHWSK,1,Male,56,No,No,0,No,66,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,74.6,4798.4,3007.62,7806.02,3,No,4 years+,Yes,Yes,Young_adult,0,0.0
8777-PVYGU,1,Female,36,Yes,No,0,No,52,Offer B,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Mailed Check,64.3,3410.6,219.44,3630.04,4,No,4 years+,Yes,Yes,Young_adult,0,0.01
9957-YODKZ,1,Male,75,Yes,No,0,Yes,6,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,80.8,457.1,101.22,588.32,5,No,1 year,Yes,No,Senioir_citizen,0,0.0
1100-DDVRV,1,Male,27,Yes,No,0,Yes,17,None,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,49.8,836.35,0.0,836.35,5,No,2 years,No,No,Under_30,0,0.03
8631-WUXGY,1,Female,26,No,Yes,2,No,46,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.8,4391.25,805.46,5196.71,5,No,4 years+,Yes,No,Under_30,0,0.06
4981-FLTMF,1,Female,35,Yes,Yes,1,Yes,57,None,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,65.2,3687.85,87.78,3775.63,3,No,4 years+,Yes,No,Young_adult,0,0.02
6576-FBXOJ,1,Male,29,Yes,No,0,Yes,17,Offer D,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,54.6,934.8,0.0,887.07,4,No,2 years,No,Yes,Under_30,0,0.01
3373-YZZYM,1,Male,57,Yes,Yes,3,Yes,1,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.2,19.2,32.78,51.98,5,No,1 year,Yes,No,Young_adult,0,0.05
2205-YMZZJ,1,Male,75,No,No,0,No,7,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.8,546.95,276.57,823.52,3,Yes,1 year,Yes,No,Senioir_citizen,1,0.78
0701-TJSEF,1,Male,45,No,No,0,No,9,Offer E,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.25,576.95,290.79,867.74,3,No,1 year,Yes,Yes,Young_adult,0,0.11
5150-ITWWB,1,Male,65,No,No,0,No,3,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.85,335.75,113.34,449.09,4,No,1 year,Yes,Yes,Senioir_citizen,0,0.01
8065-BVEPF,1,Male,80,No,No,0,No,65,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.1,6496.15,1184.95,7681.1,4,No,4 years+,Yes,Yes,Senioir_citizen,0,0.03
8714-CTZJW,1,Female,24,No,No,0,No,4,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,82.85,319.6,79.36,398.96,3,No,1 year,Yes,Yes,Under_30,0,0.27
2187-PKZAY,1,Male,23,No,No,0,No,12,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95,1043.4,480.72,1524.12,5,No,1 year,Yes,No,Under_30,0,0.1
8053-WWDRO,1,Female,62,Yes,No,0,Yes,6,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.5,146.3,190.2,336.5,3,Yes,1 year,Yes,No,Young_adult,1,0.67
1360-XFJMR,1,Female,50,Yes,No,0,Yes,67,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,109.7,7344.45,1187.24,8531.69,4,No,4 years+,Yes,No,Young_adult,0,0.02
1431-CYWMH,1,Female,35,Yes,Yes,1,No,22,Offer D,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.05,454.05,1021.9,1475.95,3,No,2 years,Yes,Yes,Young_adult,0,0.02
5204-QZXPU,1,Male,50,No,No,0,No,19,None,No,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,39.65,733.35,0.0,733.35,1,Yes,2 years,No,No,Young_adult,1,0.96
8769-KKTPH,1,Female,44,Yes,No,0,Yes,63,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.65,6311.2,90.09,6401.29,3,No,4 years+,Yes,Yes,Young_adult,0,0.02
5236-PERKL,1,Female,38,No,No,0,No,57,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,112.95,6465.0,2785.02,9250.02,1,Yes,4 years+,Yes,No,Young_adult,1,0.93
5373-SFODM,1,Male,65,Yes,No,0,Yes,36,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.25,3132.75,883.44,4016.19,2,Yes,3 years,Yes,No,Senioir_citizen,1,0.98
9961-JBNMK,1,Male,79,No,No,0,No,21,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2030.3,887.67,2907.77,1,Yes,2 years,Yes,No,Senioir_citizen,1,0.97
4701-AHWMW,1,Male,30,Yes,No,0,Yes,55,None,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,54.55,2978.3,0.0,3028.3,1,Yes,4 years+,No,No,Young_adult,1,0.9
5804-LEPIM,1,Female,74,No,No,0,No,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,26.34,165.39,3,Yes,1 year,Yes,Yes,Senioir_citizen,1,0.97
4581-LNWUM,1,Female,47,No,No,0,No,13,Offer D,No,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,49.15,649.4,0.0,649.4,3,No,2 years,No,Yes,Young_adult,0,0.25
2869-ADAWR,1,Female,41,No,No,0,No,45,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,89.3,4016.85,635.4,4607.62,2,Yes,4 years+,Yes,Yes,Young_adult,1,0.92
