Customer ID,Count,Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Churn Value,Tenure,Distance call,Campaign,age group
5564-NEMQO,1,Female,80,No,No,0,No,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,35.09,130.39,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
6235-VDHOM,1,Female,77,No,No,0,No,5,Offer E,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,131.05,2,Yes,1,1 year,No,Yes,Senioir_citizen
5609-CEBID,1,Female,77,No,No,0,No,20,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,974.6,2837.0,1,Yes,1,2 years,Yes,No,Senioir_citizen
5956-VKDTT,1,Female,72,Yes,No,0,Yes,5,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,228.8,563.6,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
0257-ZESQC,1,Female,80,Yes,No,0,Yes,27,None,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,189.54,2118.89,1,Yes,1,3 years,Yes,No,Senioir_citizen
2865-TCHJW,1,Female,74,No,No,0,No,4,None,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,193.4,539.6,1,Yes,1,1 year,Yes,No,Senioir_citizen
5192-EBGOV,1,Female,68,No,No,0,No,1,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,45.81,131.51,1,Yes,1,1 year,Yes,No,Senioir_citizen
3419-SNJJD,1,Female,78,Yes,No,0,Yes,65,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,1195.35,7981.75,1,Yes,1,4 years+,Yes,Yes,Senioir_citizen
4554-YGZIH,1,Male,75,Yes,No,0,Yes,49,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,1123.0800000000002,5670.33,2,Yes,1,4 years+,Yes,Yes,Senioir_citizen
5099-BAILX,1,Male,77,Yes,No,0,Yes,43,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,624.36,5312.259999999999,2,Yes,1,4 years+,Yes,Yes,Senioir_citizen
1626-ERCMM,1,Male,75,Yes,No,0,Yes,20,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,106.2,2005.85,1,Yes,1,2 years,Yes,No,Senioir_citizen
5644-PDMZC,1,Female,69,No,No,0,No,2,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,94.94,256.44,2,Yes,1,1 year,Yes,No,Senioir_citizen
0067-DKWBL,1,Male,69,No,No,0,No,2,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,87.98,179.07999999999998,2,Yes,1,1 year,Yes,No,Senioir_citizen
5244-IRFIH,1,Male,72,Yes,No,0,Yes,33,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,916.74,4022.29,3,Yes,1,3 years,Yes,No,Senioir_citizen
2684-EIWEO,1,Female,69,No,No,0,No,30,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,1376.4,4134.55,1,Yes,1,3 years,Yes,No,Senioir_citizen
6683-VLCTZ,1,Male,73,No,No,0,No,20,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,888.8,2851.6,3,Yes,1,2 years,Yes,No,Senioir_citizen
0691-IFBQW,1,Female,65,No,No,0,No,46,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,109.02,4983.820000000001,1,Yes,1,4 years+,Yes,No,Senioir_citizen
3643-AHCFP,1,Male,74,Yes,No,0,Yes,7,None,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,153.37,797.72,3,Yes,1,1 year,Yes,No,Senioir_citizen
9231-ZJYAM,1,Female,65,No,No,0,No,4,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,147.72,440.52,3,Yes,1,1 year,Yes,No,Senioir_citizen
0727-BMPLR,1,Female,66,No,No,0,No,55,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,2055.9,7665.200000000001,3,Yes,1,4 years+,Yes,No,Senioir_citizen
0947-MUGVO,1,Male,71,Yes,No,0,Yes,20,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,107.4,1570.9,1,Yes,1,2 years,Yes,No,Senioir_citizen
0781-LKXBR,1,Male,65,No,No,0,No,9,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,438.39,1356.99,1,Yes,1,1 year,Yes,No,Senioir_citizen
1907-UBQFC,1,Male,69,No,No,0,No,10,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,54.6,773.25,1,Yes,1,1 year,Yes,No,Senioir_citizen
6513-EECDB,1,Male,75,Yes,No,0,No,1,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,36.92,110.47,2,Yes,1,1 year,Yes,No,Senioir_citizen
7074-IEVOJ,1,Female,75,No,No,0,No,3,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,125.7,330.75,1,Yes,1,1 year,Yes,No,Senioir_citizen
4750-ZRXIU,1,Female,68,No,No,0,No,4,None,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,26.72,386.8200000000001,1,Yes,1,1 year,Yes,No,Senioir_citizen
7028-DVOIQ,1,Male,71,No,No,0,No,35,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,729.05,4244.85,1,Yes,1,3 years,Yes,No,Senioir_citizen
4208-UFFGW,1,Male,80,No,No,0,No,2,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,53.24,138.39,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
9889-TMAHG,1,Male,66,No,No,0,No,8,None,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,92.56,924.91,1,Yes,1,1 year,Yes,No,Senioir_citizen
8919-FYFQZ,1,Male,73,Yes,No,0,Yes,44,None,No,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,1359.7,1,Yes,1,4 years+,No,No,Senioir_citizen
6646-QVXLR,1,Male,77,Yes,No,0,Yes,62,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,440.82,6824.17,1,Yes,1,4 years+,Yes,No,Senioir_citizen
9369-XFEHK,1,Female,76,Yes,No,0,Yes,33,None,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,1095.27,3751.77,2,Yes,1,3 years,Yes,No,Senioir_citizen
1374-DMZUI,1,Female,65,No,No,0,No,4,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,198.0,622.45,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
1989-PRJHP,1,Male,75,Yes,No,0,Yes,27,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,286.2,2180.15,1,Yes,1,3 years,Yes,No,Senioir_citizen
4822-RVYBB,1,Male,75,No,No,0,No,8,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,323.6,1143.0,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
4184-TJFAN,1,Female,68,Yes,No,0,Yes,3,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,77.31,351.06,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
4145-UQXUQ,1,Female,71,No,No,0,No,8,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,343.44,1073.39,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
1236-WFCDV,1,Male,74,No,No,0,No,14,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,158.34,1424.4399999999998,3,Yes,1,2 years,Yes,No,Senioir_citizen
1271-SJBGZ,1,Male,77,No,No,0,No,12,None,No,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,526.95,1,Yes,1,1 year,No,No,Senioir_citizen
4441-NIHPT,1,Female,73,No,No,0,No,13,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,524.81,1465.16,1,Yes,1,2 years,Yes,No,Senioir_citizen
8999-BOHSE,1,Female,68,No,No,0,No,11,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,43.56,1091.26,2,Yes,1,1 year,Yes,No,Senioir_citizen
7029-RPUAV,1,Male,74,Yes,No,0,Yes,17,None,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,479.06,2101.51,3,Yes,1,2 years,Yes,No,Senioir_citizen
8111-SLLHI,1,Male,65,Yes,No,0,Yes,39,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,1296.75,5581.55,3,Yes,1,4 years+,Yes,No,Senioir_citizen
4086-YQSNZ,1,Female,74,Yes,No,0,Yes,3,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,9.87,233.92,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
8399-YNDCH,1,Male,80,No,No,0,No,21,None,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,727.02,1963.17,1,Yes,1,2 years,Yes,No,Senioir_citizen
5565-FILXA,1,Female,76,No,No,0,No,16,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,620.0,2149.2,2,Yes,1,2 years,Yes,No,Senioir_citizen
4187-CINZD,1,Female,73,No,No,0,No,46,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,4424.2,281.98,4706.18,2,Yes,1,4 years+,Yes,No,Senioir_citizen
6818-WOBHJ,1,Female,70,Yes,No,0,Yes,68,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,1640.84,7768.44,1,Yes,1,4 years+,Yes,Yes,Senioir_citizen
8519-IMDHU,1,Male,74,Yes,No,0,Yes,15,None,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,678.75,2024.3,1,Yes,1,2 years,Yes,No,Senioir_citizen
3372-KWFBM,1,Male,76,No,No,0,No,16,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,306.88,1587.88,3,Yes,1,2 years,Yes,No,Senioir_citizen
7206-GZCDC,1,Female,75,No,No,0,No,1,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,29.68,98.93,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
1768-ZAIFU,1,Female,74,No,No,0,No,1,None,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0,25.2,1,Yes,1,1 year,No,No,Senioir_citizen
3793-MMFUH,1,Female,73,No,No,0,No,13,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,247.39,1537.39,1,Yes,1,2 years,Yes,No,Senioir_citizen
5419-CONWX,1,Female,65,No,No,0,No,4,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,50.72,493.5700000000001,1,Yes,1,1 year,Yes,No,Senioir_citizen
7024-OHCCK,1,Female,77,No,No,0,No,2,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,38.54,209.39,3,Yes,1,1 year,Yes,No,Senioir_citizen
5357-TZHPP,1,Male,67,No,No,0,No,9,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,277.2,1009.7,2,Yes,1,1 year,Yes,No,Senioir_citizen
0506-LVNGN,1,Female,78,No,No,0,No,5,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,211.65,561.3,1,Yes,1,1 year,Yes,No,Senioir_citizen
9809-IMGCQ,1,Male,65,No,No,0,No,22,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,883.96,3066.91,1,Yes,1,2 years,Yes,Yes,Senioir_citizen
3254-YRILK,1,Male,74,No,No,0,No,19,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,759.43,2535.23,1,Yes,1,2 years,Yes,Yes,Senioir_citizen
0529-ONKER,1,Male,70,No,No,0,No,15,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,695.7,1842.35,3,Yes,1,2 years,Yes,Yes,Senioir_citizen
5240-IJOQT,1,Male,69,No,No,0,No,1,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,11.34,86.04,1,Yes,1,1 year,Yes,No,Senioir_citizen
0661-XEYAN,1,Female,76,No,No,0,No,1,None,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0,45.8,1,Yes,1,1 year,No,No,Senioir_citizen
2660-EMUBI,1,Male,71,No,No,0,No,10,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,413.7,1312.05,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
7675-OZCZG,1,Female,76,No,No,0,No,3,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1,90.42,227.52,3,Yes,1,1 year,Yes,No,Senioir_citizen
2761-OCIAX,1,Male,74,No,No,0,No,2,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,13.02,178.42000000000002,2,Yes,1,1 year,Yes,No,Senioir_citizen
3068-OMWZA,1,Male,77,No,No,0,No,1,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,49.6,148.4,1,Yes,1,1 year,Yes,No,Senioir_citizen
4154-AQUGT,1,Male,76,Yes,No,0,Yes,13,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,19.11,1188.4599999999998,1,Yes,1,2 years,Yes,Yes,Senioir_citizen
8017-LXHFA,1,Female,77,No,No,0,No,23,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,716.9100000000001,3010.51,2,Yes,1,2 years,Yes,Yes,Senioir_citizen
4690-LLKUA,1,Male,68,No,No,0,No,17,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,695.81,1466.41,1,Yes,1,2 years,Yes,No,Senioir_citizen
9490-DFPMD,1,Female,79,No,No,0,No,42,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,400.26,3941.61,2,Yes,1,4 years+,Yes,No,Senioir_citizen
8580-AECUZ,1,Male,65,No,No,0,No,1,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,42.3,121.4,3,Yes,1,1 year,Yes,No,Senioir_citizen
5047-LHVLY,1,Male,68,No,No,0,No,1,Offer E,Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,39.78,89.93,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
8375-DKEBR,1,Female,72,No,No,0,No,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,34.51,104.11,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
7156-MHUGY,1,Male,68,No,No,0,No,13,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.5,1201.15,339.43,1650.7400000000002,1,Yes,1,2 years,Yes,No,Senioir_citizen
3536-IQCTX,1,Male,76,Yes,No,0,Yes,32,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1,1587.2,4248.3,1,Yes,1,3 years,Yes,No,Senioir_citizen
